gene_id,890_hisat2,913_hisat2,933_hisat2
BBB50_RS00910,4332,4787,5559
BBB50_RS00915,1229,1416,1341
BBB50_RS00920,1908,1864,2117
BBB50_RS00925,3701,3830,3985
BBB50_RS00930,8681,10070,10287
BBB50_RS00935,3638,4192,4303
BBB50_RS00940,7318,7150,7306
BBB50_RS00945,9248,5975,6757
BBB50_RS00950,5910,5223,5957
BBB50_RS00955,22545,18869,21822
BBB50_RS00965,3187,2885,2732
BBB50_RS00970,42142,49676,48731
BBB50_RS00975,13027,20294,16475
BBB50_RS00980,895,867,1165
BBB50_RS00985,21690,22202,19885
BBB50_RS00990,3523,3731,4291
BBB50_RS00995,2837,2212,3062
BBB50_RS01000,32203,31682,27933
BBB50_RS01005,33627,25098,32117
BBB50_RS01010,11379,8366,10992
BBB50_RS01015,9252,4249,5001
BBB50_RS01020,1248,754,895
BBB50_RS01025,321009,224944,159839
BBB50_RS01030,65325,53722,46273
BBB50_RS01035,18036,19043,15196
BBB50_RS01040,11661,8560,8918
BBB50_RS01045,52117,13974,14573
BBB50_RS01060,13113,22498,20798
BBB50_RS01065,72931,99107,83606
BBB50_RS01070,3967,11294,10606
BBB50_RS01075,11912,15102,15918
BBB50_RS01080,19320,37495,40887
BBB50_RS01085,148764,323529,337757
BBB50_RS01090,56093,33210,27964
BBB50_RS01095,57018,31065,29666
BBB50_RS01100,130314,62716,68547
BBB50_RS01105,11850,9178,9612
BBB50_RS01110,58419,37433,38699
BBB50_RS01115,11277,6275,7792
BBB50_RS01120,2307,1681,2218
BBB50_RS01125,12501,9507,9248
BBB50_RS01130,21053,25086,23751
BBB50_RS01135,9820,11296,11402
BBB50_RS01140,2368,2950,3465
BBB50_RS01145,16071,13383,19329
BBB50_RS01150,4304,4125,5576
BBB50_RS01155,17098,17784,20251
BBB50_RS01160,24581,23781,23721
BBB50_RS01165,7360,6968,8246
BBB50_RS01170,21138,14689,9793
BBB50_RS01175,29405,24336,19362
BBB50_RS01180,12953,13464,13399
BBB50_RS01185,23005,20193,20968
BBB50_RS01190,3030,2547,2872
BBB50_RS01195,29578,25158,30514
BBB50_RS01200,1214,2523,2427
BBB50_RS01205,3523,9060,8055
BBB50_RS01210,3862,33521,24380
BBB50_RS01215,8585,7352,6933
BBB50_RS01220,5979,5085,4026
BBB50_RS01225,53155,40500,33358
BBB50_RS01230,122200,122539,80928
BBB50_RS01235,38744,47186,27137
BBB50_RS01240,19887,16661,17489
BBB50_RS01245,16840,13184,13905
BBB50_RS01250,14865,12378,13054
BBB50_RS01255,71211,56279,57045
BBB50_RS01260,125728,106604,114443
BBB50_RS01265,22938,15747,15131
BBB50_RS01270,21594,17003,18573
BBB50_RS01275,28911,26057,28398
BBB50_RS01280,10695,9320,10141
BBB50_RS01285,10220,10023,12100
BBB50_RS01290,16246,59516,51161
BBB50_RS01295,93789,105938,93195
BBB50_RS01300,19086,19831,17965
BBB50_RS01305,26603,18045,11145
BBB50_RS01310,23778,12822,8792
BBB50_RS01315,28805,17843,13611
BBB50_RS01320,8521,7345,6877
BBB50_RS01325,2644,2049,2129
BBB50_RS01330,43579,16336,11799
BBB50_RS01335,19248,14973,10720
BBB50_RS01340,9358,15156,13291
BBB50_RS01345,55116,67893,57450
BBB50_RS01350,5537,5756,6163
BBB50_RS01355,3110,3026,3483
BBB50_RS01360,4333,3496,4421
BBB50_RS01365,831,669,1068
BBB50_RS01370,2058,1543,2654
BBB50_RS01375,1159,952,1540
BBB50_RS01380,1336,1360,1638
BBB50_RS01385,1986,1582,1858
BBB50_RS01390,3352,3111,3236
BBB50_RS01405,544,605,976
BBB50_RS01410,310,459,890
BBB50_RS01415,3307,3989,7438
BBB50_RS01420,33,73,173
BBB50_RS01425,648,877,2192
BBB50_RS01430,523,834,1698
BBB50_RS01435,693,976,2226
BBB50_RS01440,707,1424,2811
BBB50_RS01445,2349,4829,10031
BBB50_RS01450,1276,2506,5742
BBB50_RS01455,394,289,669
BBB50_RS01460,903,788,1100
BBB50_RS01465,398,424,770
BBB50_RS01470,220,162,358
BBB50_RS01475,521,491,867
BBB50_RS01480,1420,1280,2495
BBB50_RS01485,1354,1344,2385
BBB50_RS01490,452,461,879
BBB50_RS01495,85,95,219
BBB50_RS01500,91,118,316
BBB50_RS01505,50,42,87
BBB50_RS01510,181,185,475
BBB50_RS01520,827,1000,1840
BBB50_RS01525,1004,611,928
BBB50_RS01530,11879,12650,14379
BBB50_RS01535,2491,1809,2349
BBB50_RS01540,407,240,406
BBB50_RS01545,392,213,446
BBB50_RS01550,0,0,0
BBB50_RS01555,1313,575,1425
BBB50_RS01560,577,353,641
BBB50_RS01570,75,70,103
BBB50_RS01575,166,47,155
BBB50_RS01580,825,296,835
BBB50_RS01585,2717,1515,3361
BBB50_RS01595,1054,619,1089
BBB50_RS01600,1502,833,1751
BBB50_RS01605,379,221,500
BBB50_RS01610,4212,2541,5786
BBB50_RS01615,11914,8342,16019
BBB50_RS01620,878,654,1010
BBB50_RS01625,6964,7943,9723
BBB50_RS01630,190,145,184
BBB50_RS01635,205,94,90
BBB50_RS01640,230,191,192
BBB50_RS01645,255,107,221
BBB50_RS01650,4186,3071,3494
BBB50_RS01655,15361,12120,16221
BBB50_RS01660,23684,21023,23598
BBB50_RS01665,34886,26165,30386
BBB50_RS01670,4671,4015,4458
BBB50_RS01675,10628,9385,11665
BBB50_RS01680,4379,4203,4859
BBB50_RS01685,13953,14970,17887
BBB50_RS01690,8384,1983,2383
BBB50_RS01695,49407,76826,96706
BBB50_RS01700,5764,3060,3939
BBB50_RS01705,1862,1630,1531
BBB50_RS01710,300589,294938,266888
BBB50_RS01715,140989,154039,151290
BBB50_RS01720,153219,190036,162856
BBB50_RS01725,22841,29542,26261
BBB50_RS01730,37576,33203,37678
BBB50_RS01735,9705,11433,11240
BBB50_RS01740,322,354,471
BBB50_RS01745,10705,9641,9370
BBB50_RS01750,7845,9719,9383
BBB50_RS01755,9538,7284,8910
BBB50_RS01760,12478,11009,12485
BBB50_RS01765,18689,16733,20167
BBB50_RS01770,3074,3104,5136
BBB50_RS01775,29056,28750,32976
BBB50_RS01780,1486,1548,1857
BBB50_RS01785,93845,63734,74830
BBB50_RS01790,28591,28871,27601
BBB50_RS01795,16201,10861,10094
BBB50_RS01800,176004,182656,165623
BBB50_RS01805,32767,30662,30553
BBB50_RS01810,73730,80878,80592
BBB50_RS01815,94328,103783,104642
BBB50_RS01820,94690,102668,102478
BBB50_RS01825,34152,34526,34322
BBB50_RS01830,208144,193902,190945
BBB50_RS01835,58213,46452,51832
BBB50_RS01840,65618,67256,61298
BBB50_RS01845,214618,195088,179091
BBB50_RS01850,95668,96392,88888
BBB50_RS01855,28767,24851,28304
BBB50_RS01860,12432,12204,11304
BBB50_RS01865,117969,79637,92300
BBB50_RS01870,115638,68636,78757
BBB50_RS01875,215152,149648,165469
BBB50_RS01880,71499,53571,58594
BBB50_RS01885,95950,87218,92450
BBB50_RS01890,182093,152238,153028
BBB50_RS01895,76839,59304,64281
BBB50_RS01900,133229,116785,112961
BBB50_RS01905,17828,15538,13867
BBB50_RS01910,149956,123249,124044
